	NE-Exclusive-filtered-sig_central-depth	NE-Exclusive-filtered-sig_var-ratio	PSMA-Neg-Exclusive-filtered_np-amplitude	PSMA-Pos-Exclusive-filtered_np-amplitude
Feature	NE-Exclusive-filtered-sig_central-depth	NE-Exclusive-filtered-sig_var-ratio	PSMA-Neg-Exclusive-filtered_np-amplitude	PSMA-Pos-Exclusive-filtered_np-amplitude
ARPC_Mean	1.0161864329390293	0.04004734198962128	0.029325331554755123	0.03840655570254631
ARPC_Std	0.013132710477143907	0.011304675951983588	0.005291315243625531	0.006631093927735642
Healthy_Mean	0.9904166625318623	0.02081622612544257	0.011218989948954856	0.01470906881825058
Healthy_Std	0.007343139044461996	0.00901898508212035	0.002278602174507058	0.0012425149674368363
NEPC_Mean	0.9255804659564197	0.10013845419208468	0.0221889508213331	0.025719394972688714
NEPC_Std	0.028491379814937778	0.04050796126949898	0.0033002678668639764	0.005233056201660328
