	AD-ATAC-TF_Central-Mean	AD-ATAC-TF_Window-Mean	AD-ATAC-TF-10000_Central-Mean	AD-ATAC-TF-10000_Window-Mean	AD-ATAC-TF-1000_Central-Mean	AD-ATAC-TF-1000_Window-Mean	AD-ATAC-TF-100_Central-Mean	AD-ATAC-TF-100_Window-Mean	AD-ATAC_Central-Mean	AD-ATAC_Window-Mean	NE-ATAC-TF_Central-Mean	NE-ATAC-TF_Window-Mean	NE-ATAC-TF-10000_Central-Mean	NE-ATAC-TF-10000_Window-Mean	NE-ATAC-TF-1000_Central-Mean	NE-ATAC-TF-1000_Window-Mean	NE-ATAC-TF-100_Central-Mean	NE-ATAC-TF-100_Window-Mean	NE-ATAC_Central-Mean	NE-ATAC_Window-Mean	AR-10000_Central-Mean	AR-10000_Window-Mean	AR-1000_Central-Mean	AR-1000_Window-Mean	ASCL1-10000_Central-Mean	ASCL1-10000_Window-Mean	ASCL1-1000_Central-Mean	ASCL1-1000_Window-Mean	AR-Pom_Central-Mean	AR-Pom_Window-Mean	AR-Sev_Central-Mean	AR-Sev_Window-Mean	ASCL1-Cej_Central-Mean	ASCL1-Cej_Window-Mean
CRPC_14230_2	0.86548	0.9444108333333336	0.86218	0.9453903030303029	0.8753475	0.948860909090909	0.8532275	0.959241818181818	0.8916675000000001	0.9524280303030304	1.02481	1.0029824242424232	1.02522	1.002532424242424	1.0230074999999998	1.0008641666666664	1.0262875	0.9905625757575754	1.037515	1.0094509090909092	0.863255	0.9390882575757575	0.7670025	0.9123618939393939	0.9613649999999999	0.9728325757575761	0.9034025000000001	0.9608823484848485	0.978985	0.9589140909090909	0.9025175	0.9477134090909087	1.0031875000000001	0.9603540909090909
CRPC_257	0.9411775	0.971557727272727	0.9320225	0.970308257575758	0.9719825	0.9729200757575752	0.954135	0.9570024999999998	0.9571725	0.9769608333333332	1.0398775	1.0037365909090907	1.037305	1.003503409090909	1.0459100000000001	1.0051811363636363	1.0555925	1.004431590909091	1.0459325	1.0096986363636364	0.9336274999999999	0.9696997727272724	0.9060974999999999	0.9555593939393934	0.990255	0.9809702272727276	0.96377	0.9742449999999997	1.008035	0.9733932575757576	0.9496025	0.96757393939394	1.02273	0.9670090151515154
FH0404_E_1_A	0.87767	0.9536763636363634	0.8687075	0.9529861363636369	0.8815299999999999	0.9551523484848486	0.8154325	0.9337410606060608	0.8920675	0.9583286363636363	1.0112025	1.0006962121212122	1.0096425	1.0006199242424245	1.0025425000000001	1.0030703030303025	1.015745	1.004625075757576	1.0138025000000002	1.0052025	0.8891249999999999	0.9537940909090903	0.8129574999999999	0.9312098484848487	0.95007	0.976075909090909	0.927015	0.9692244696969696	0.994185	0.9680073484848486	0.90191	0.9528225757575761	1.0242925	0.9697975757575756
FH0701_cDE_2	0.9853825	0.9965327272727275	0.9742875000000001	0.9937248484848488	1.0041825	1.0036778787878788	0.9831650000000001	1.002558636363636	0.9986324999999999	1.000508863636364	1.0134975	1.0002870454545456	1.0146350000000002	1.0000469696969698	1.011905	1.0033121969696972	1.059355	0.9967616666666664	1.0192225	1.0050903030303033	0.9951650000000001	0.9984354545454545	0.9937825	0.9980794696969697	0.9795900000000001	0.9785959848484854	0.9517175	0.9700643939393938	1.0288075	0.9907949999999999	0.991795	0.9868771969696969	1.0229024999999998	0.970021590909091
FH0166_E_3_A	0.7836	0.9023805303030303	0.7806974999999999	0.9027881060606058	0.7816200000000001	0.9028474242424237	0.825855	0.8991740151515155	0.80411	0.9097649242424242	1.0209375	0.9971696212121209	1.0211075	0.9967859090909093	1.0053225	0.9983802272727273	1.0543925	1.0010487121212124	1.028075	1.0028883333333334	0.8003425	0.9034177272727273	0.7069325000000001	0.8568847727272726	0.941335	0.9636985606060602	0.8958625	0.9511328030303027	0.93304	0.9294853787878785	0.8295175000000001	0.9063003787878782	0.9959375	0.9426348484848484
FH0222_E_2_A	0.7928499999999999	0.9178465151515152	0.79838	0.9210672727272731	0.8254125	0.9247976515151515	0.8306375	0.9224890151515148	0.8099775000000001	0.9249303030303033	1.0302825	1.0025373484848485	1.029935	1.0017546212121209	1.0375074999999998	1.0036331060606056	1.055125	1.0099842424242422	1.03403	1.007293787878788	0.767265	0.9084001515151513	0.62212	0.8577734090909087	0.962055	0.975232803030303	0.9184574999999999	0.969281136363636	0.9525750000000001	0.9421115151515153	0.8355899999999999	0.9218090909090907	1.0173124999999998	0.9577503787878782
CRPC_248_T6	0.7555725	0.9025845454545459	0.76097	0.9052211363636367	0.775615	0.9058634090909095	0.819285	0.8999937121212119	0.762395	0.9082276515151514	0.9824825	0.9939934848484849	0.9798575	0.9932446969696975	0.97495	0.9930678030303032	0.9879749999999999	0.9945507575757577	0.9837874999999999	0.9968196212121213	0.733235	0.8940387878787878	0.6136225	0.8361487121212124	0.91917	0.9535394696969693	0.888265	0.9408067424242429	0.8867375	0.9250016666666664	0.788115	0.8971468181818182	0.92998	0.9180189393939387
FH0415_E_1_A	0.9288675	0.976985151515152	0.91327	0.9745224242424244	0.94681	0.9783818939393938	0.9596225	0.9736462121212117	0.942245	0.9813728787878786	0.9930625000000001	0.9940468181818182	0.9938400000000001	0.9942894696969696	0.97315	0.9898184090909095	1.0174175	0.9832346212121214	0.999645	0.9984587121212118	0.937685	0.976213939393939	0.918395	0.9644329545454547	0.9335325	0.9710468939393939	0.8949725	0.961194318181818	1.0096175	0.9809392424242422	0.9368325	0.9698725000000001	1.0044625	0.965460303030303
FH0486_E_2_A	0.96742	0.9891343181818184	0.9437175	0.983696818181818	0.9890875	0.9909082575757576	1.0216075	1.004803863636364	0.9777925	0.9938907575757573	0.9086625	0.9549340909090909	0.9159299999999999	0.9589077272727277	0.8679325	0.9436368181818178	0.9148700000000001	0.9493579545454547	0.9278125	0.9649287121212123	0.9658249999999999	0.982968787878788	0.9663425	0.9770750000000004	0.8493125	0.9364661363636365	0.7994475	0.9227111363636364	1.015295	0.9791073484848484	0.9621899999999999	0.9752659848484844	0.97117	0.9416600757575759
FH0377_E_1_A	0.9460500000000001	0.9824403030303035	0.9334625000000001	0.9796426515151514	0.9571700000000001	0.9857084848484851	0.9087075	0.9920509848484845	0.956395	0.9864128787878789	1.004515	0.9987749242424244	1.0048425	0.9990021969696969	0.9916425	1.0003175757575755	1.0106575	1.009878787878788	1.0109724999999998	1.0026086363636364	0.94623	0.9842902272727269	0.913695	0.9749624242424245	0.9644874999999999	0.9779959090909089	0.9243674999999999	0.9725842424242425	1.00644	0.9813972727272731	0.9536074999999999	0.975398257575757	1.00393	0.9650656818181814
CRPC_248	0.8899225000000001	0.9444223484848484	0.8870450000000001	0.9451948484848485	0.928635	0.9530980303030308	0.9263925000000001	0.9461295454545454	0.9063075	0.9508463636363637	1.0363825	1.0025661363636365	1.0369175	1.002156287878788	1.0308975	1.0026863636363639	1.021045	1.00873696969697	1.041465	1.0075774999999998	0.8775875000000002	0.9411989393939396	0.835735	0.9099576515151515	0.9858574999999999	0.9732336363636365	0.93957	0.9634622727272725	0.973475	0.9529890909090906	0.9018849999999999	0.9411012121212127	1.0069975	0.9535481060606057
CRPC_466_T2	0.97163	0.982655757575758	0.954595	0.9782609848484852	0.9663225	0.9905501515151516	0.95291	0.9802597727272726	0.98329	0.9858875757575759	1.0142025000000001	0.9968672727272725	1.01704	0.9965572727272727	1.0156100000000001	0.9982456818181815	0.9976125	0.9956689393939394	1.0163425000000001	1.0003958333333336	0.9761325000000001	0.9899074999999995	0.9919924999999999	0.9906791666666666	1.006795	0.9746742424242427	0.9763949999999999	0.9650035606060606	1.0173800000000002	0.9786420454545458	0.9688175000000001	0.9719096212121208	1.0044775	0.954744696969697
FH0103_E_1_A	0.95787	0.9854977272727269	0.942185	0.9828366666666665	0.9765275	0.9876355303030302	0.96235	0.9855758333333328	0.969285	0.9892571212121213	1.010455	0.99962106060606	1.0120775	0.9996584848484847	1.0159775	0.998557575757575	1.0593675	1.006256060606061	1.0115125	1.0031034848484848	0.9628725	0.9847937878787876	0.9533775	0.9783483333333328	0.9699475	0.9784087878787878	0.9336024999999999	0.9709675757575758	1.0265024999999999	0.9820587121212122	0.9636849999999999	0.9792512878787876	1.01569	0.9721897727272729
FH0226_E_1_A	0.9604199999999999	0.9872668181818182	0.94668	0.984541742424242	0.9703350000000001	0.9886215909090907	0.957155	0.9939446212121208	0.9699425	0.9902356818181813	1.02253	1.0000834090909094	1.0229875	0.9998539393939393	1.0117175	1.0034684848484856	1.0347775000000001	1.0155428787878789	1.0199150000000001	1.0034353787878787	0.9606650000000001	0.9883161363636364	0.9521550000000001	0.9852335606060605	0.977345	0.9801165909090905	0.942655	0.9748016666666665	1.0179525	0.9868359090909088	0.9614475	0.9798590909090911	1.0355375	0.9754265151515146
