	AD-ATAC-TF_Central-Mean	AD-ATAC-TF_Window-Mean	AD-ATAC-TF-10000_Central-Mean	AD-ATAC-TF-10000_Window-Mean	AD-ATAC-TF-1000_Central-Mean	AD-ATAC-TF-1000_Window-Mean	AD-ATAC-TF-100_Central-Mean	AD-ATAC-TF-100_Window-Mean	AD-ATAC_Central-Mean	AD-ATAC_Window-Mean	NE-ATAC-TF_Central-Mean	NE-ATAC-TF_Window-Mean	NE-ATAC-TF-10000_Central-Mean	NE-ATAC-TF-10000_Window-Mean	NE-ATAC-TF-1000_Central-Mean	NE-ATAC-TF-1000_Window-Mean	NE-ATAC-TF-100_Central-Mean	NE-ATAC-TF-100_Window-Mean	NE-ATAC_Central-Mean	NE-ATAC_Window-Mean	AR-10000_Central-Mean	AR-10000_Window-Mean	AR-1000_Central-Mean	AR-1000_Window-Mean	ASCL1-10000_Central-Mean	ASCL1-10000_Window-Mean	ASCL1-1000_Central-Mean	ASCL1-1000_Window-Mean	AR-Pom_Central-Mean	AR-Pom_Window-Mean	AR-Sev_Central-Mean	AR-Sev_Window-Mean	ASCL1-Cej_Central-Mean	ASCL1-Cej_Window-Mean
FH0404_E_1_A	0.8780325	0.945004318181818	0.88682	0.9464813636363636	0.9451400000000001	0.9449673484848488	0.91606	0.8427195454545457	0.893955	0.9495963636363641	1.00855	1.0034565909090911	1.0354349999999999	1.0053236363636369	0.9763474999999999	0.9889716666666665	0.6914075	0.9472692424242428	1.02207	1.00091446969697	0.8652625	0.9481367424242425	0.7997624999999999	0.9293334848484848	0.9739475	0.9800099242424241	0.9394825	0.9652319696969701	0.987965	0.9710169696969699	0.893915	0.9510104545454544	1.1147475	0.9808744696969696
FH0701_cDE_2	0.9585525	0.9954904545454544	0.9279674999999998	0.9915312121212118	0.9959250000000001	0.9799828787878786	0.7512675	1.009960075757576	0.9886474999999999	0.9993305303030301	1.0276975	1.001475757575758	1.02073	0.9993108333333334	0.9403825	1.0035943939393939	0.9339175	1.0287739393939397	1.0432675	1.0078071212121213	0.981535	1.0016687878787878	0.8545825	0.9809470454545456	0.98977	0.974782196969697	0.997555	0.9809805303030299	1.042495	0.9959265909090907	0.9796825	0.9873678787878792	1.10293	0.9830463636363639
FH0166_E_3_A	0.8101325	0.8976538636363637	0.8309325000000001	0.8983176515151513	0.827885	0.9154252272727277	1.2521	0.8746020454545458	0.8263775	0.907235378787879	1.0391475000000001	0.9970721969696967	1.04376	0.9937215909090908	1.2070474999999998	1.005439772727273	0.8167125	0.8979952272727275	1.0454825	1.0031697727272726	0.7899275	0.9011720454545452	0.836635	0.8286793939393939	0.9783625	0.9614563636363641	0.8469675	0.9372327272727278	0.9027999999999999	0.9279114393939395	0.8481924999999999	0.9022726515151517	1.10687	0.9550798484848483
FH0222_E_2_A	0.7814599999999999	0.9102017424242425	0.7922549999999999	0.9096626515151512	0.662865	0.8962070454545454	0.4335175	0.8588600000000001	0.8121725	0.9232036363636362	1.0076675	0.9928208333333335	1.0015874999999999	0.9910604545454544	1.0186925	0.9889450757575755	1.2905625	0.9524159090909093	1.0257525	1.0062569696969699	0.7407125	0.9044312121212121	0.60188	0.8493495454545456	0.96291	0.9749950000000001	0.9494675	0.9899309090909092	0.9704675	0.9409216666666668	0.8184049999999999	0.9187766666666664	1.0749374999999999	0.9710070454545457
CRPC_554.ctDNA	0.90146	0.9591064393939389	0.893185	0.9555835606060604	0.9262499999999999	0.9633297727272725	0.3388075	1.0697653030303036	0.9350974999999999	0.968823106060606	1.020755	1.0110829545454545	1.0135525	1.0131143181818179	0.86581	1.0337840151515147	0.6742425	1.0370311363636362	1.0429300000000001	1.0093362121212122	0.9125125	0.9659168181818182	0.7719575	0.9351321212121213	0.9344325	0.9763912878787883	0.79304	0.9695541666666665	0.991595	0.9729531818181821	0.9398025	0.9615406818181824	1.0089299999999999	0.9698069696969693
FH0415_E_1_A	0.968235	0.9771610606060607	0.918965	0.9733875757575756	0.9751100000000001	0.9715866666666666	1.058255	0.8596440909090914	0.985375	0.9823388636363639	0.9749224999999999	0.9837374242424245	0.9829975	0.9859714393939388	0.98526	0.9908279545454547	0.975555	0.9711148484848483	0.970945	0.9961581818181813	0.9232699999999999	0.9756427272727275	1.0657424999999998	0.9548591666666669	0.91806	0.9723253030303036	0.908705	0.9528890151515153	1.0339625000000001	0.9792721212121215	0.9831799999999999	0.9722243939393943	1.0547175	0.9784624999999998
FH0486_E_2_A	0.9564775	0.9950734090909089	0.9423825	0.9885153030303033	0.9941450000000001	1.0003478787878788	0.9021049999999999	0.9929006060606057	0.9770374999999999	0.9958826515151513	0.909195	0.9567625757575756	0.9135924999999999	0.9581607575757578	0.78812	0.9566835606060605	1.1281175	0.8969881060606059	0.9169499999999999	0.9620325757575762	0.95257	0.9880621212121211	0.8518924999999999	0.9856153787878785	0.8480649999999998	0.9381269696969702	0.8223450000000001	0.9230276515151518	1.03383	0.9821424242424244	0.9605625000000001	0.9750092424242425	1.0467375	0.9588782575757574
FH0377_E_1_A	0.9818275000000001	0.9817206060606058	0.9527375	0.9757382575757576	0.938465	0.9834540909090912	0.6085725	0.9175182575757573	0.964135	0.985669393939394	0.9820575	0.9996228030303028	0.995835	0.998485	1.0514425	0.9950092424242435	1.5091625	0.9879833333333337	1.0089	1.0068325757575758	0.9418175000000001	0.9874715151515155	0.95421	0.988866666666667	0.9529400000000001	0.9731575757575754	1.022145	0.9548295454545453	0.9952125	0.979040378787879	0.9684650000000001	0.9743391666666674	1.06462	0.9669342424242423
FH0220_cDE_2	0.9771225	0.9962125000000004	0.9700875000000001	0.9881423484848484	0.9099325	0.9969395454545456	1.18808	0.9257496212121215	0.9888125	0.9975140909090906	1.0211925000000002	0.9973734848484846	1.0264	0.9976429545454546	1.0615575	1.0100500757575763	1.3177925	1.0282149242424243	1.0288475000000001	1.004078181818182	0.956055	1.0006567424242425	1.0676875	1.0079051515151525	1.018055	0.9742929545454542	0.930495	0.9600325000000002	1.0317825	0.9894468939393937	1.0040274999999999	0.991337348484848	1.0685324999999999	0.9866458333333337
CRPC_531_1	0.8993425	0.9464819696969694	0.8870750000000001	0.9503798484848488	1.069365	0.9090556818181816	1.3155875000000001	1.0209509848484848	0.924785	0.9491079545454546	1.0211	1.0082821212121216	1.0332175	1.0123474242424244	1.243535	1.0213246969696972	1.6154775000000001	0.997875303030303	1.032845	1.0052544696969696	0.899135	0.933533257575758	0.6887225	0.8742641666666665	0.9920899999999999	0.9749536363636362	0.95092	0.9669169696969698	0.9952274999999999	0.9561961363636367	0.9256775	0.9375375757575758	1.0033975	0.9569944696969699
