	AD-ATAC-TF_Central-Mean	AD-ATAC-TF_Window-Mean	AD-ATAC-TF-10000_Central-Mean	AD-ATAC-TF-10000_Window-Mean	AD-ATAC-TF-1000_Central-Mean	AD-ATAC-TF-1000_Window-Mean	AD-ATAC-TF-100_Central-Mean	AD-ATAC-TF-100_Window-Mean	AD-ATAC_Central-Mean	AD-ATAC_Window-Mean	NE-ATAC-TF_Central-Mean	NE-ATAC-TF_Window-Mean	NE-ATAC-TF-10000_Central-Mean	NE-ATAC-TF-10000_Window-Mean	NE-ATAC-TF-1000_Central-Mean	NE-ATAC-TF-1000_Window-Mean	NE-ATAC-TF-100_Central-Mean	NE-ATAC-TF-100_Window-Mean	NE-ATAC_Central-Mean	NE-ATAC_Window-Mean	AR-10000_Central-Mean	AR-10000_Window-Mean	AR-1000_Central-Mean	AR-1000_Window-Mean	ASCL1-10000_Central-Mean	ASCL1-10000_Window-Mean	ASCL1-1000_Central-Mean	ASCL1-1000_Window-Mean	AR-Pom_Central-Mean	AR-Pom_Window-Mean	AR-Sev_Central-Mean	AR-Sev_Window-Mean	ASCL1-Cej_Central-Mean	ASCL1-Cej_Window-Mean
105CR_LuCaP	0.95645	0.9895465909090911	0.9292425	0.9811316666666671	0.9818625000000001	0.994276212121212	1.0380175	0.9904812878787881	0.9684775	0.9954766666666667	0.8291825	0.9430728787878787	0.8451675	0.9473335606060609	0.7701475	0.9276177272727276	0.8565625	0.9192843939393939	0.84529	0.9489981060606059	0.951495	0.9886562121212128	0.9251	0.9799461363636361	0.7255874999999999	0.9340192424242427	0.59463	0.9172747727272725	0.9812	0.9667851515151513	0.9521575	0.9778260606060601	0.8560925	0.902489696969697
70_LuCaP	0.7516525	0.925913409090909	0.74617	0.9228012878787879	0.7964424999999999	0.9301500757575759	0.776575	0.9177512878787878	0.77797	0.9365220454545459	1.0114575000000001	1.0029746212121216	1.007095	1.0028090151515157	0.9908299999999999	1.014428484848485	0.9902074999999999	1.0170904545454542	1.01304	1.0072693181818184	0.7915574999999999	0.9389275	0.72929	0.9044135606060609	0.90629	0.9687561363636362	0.8411325	0.9600049242424248	0.8998075000000001	0.9301859848484848	0.8352124999999999	0.9367976515151518	0.9669875	0.9407921212121212
92_LuCaP	0.8356975	0.9118890909090908	0.8343524999999999	0.9132003030303032	0.8600774999999999	0.9137264393939389	0.8277224999999999	0.9158711363636362	0.8616575	0.9215737878787882	1.0111075	0.9998841666666665	1.0087899999999999	0.9984917424242421	0.996495	1.004723636363637	1.070435	1.002682878787879	1.0248275000000002	1.0067087878787884	0.785145	0.9090028030303031	0.674295	0.8751756818181816	0.949805	0.9658311363636365	0.9018975	0.954009090909091	0.937215	0.9162690909090903	0.905965	0.9315908333333334	0.9960075	0.9420450000000004
70CR_LuCaP	0.795705	0.9378993939393939	0.7862	0.9346059848484848	0.8483525	0.9487481060606058	0.94421	0.9640868939393933	0.8182524999999999	0.9463710606060606	1.0136525	0.9996254545454549	1.0116325	0.9995868181818179	0.9938775	1.005040984848485	1.0901524999999999	1.0317696212121212	1.02264	1.0041614393939393	0.822965	0.9456281060606064	0.7680324999999999	0.9229551515151518	0.934075	0.9676581818181819	0.8701725	0.9581715151515147	0.9091125	0.9395067424242426	0.8504225	0.9430426515151515	0.9783025	0.9441112121212124
145-2_LuCaP	0.9283	0.983051212121212	0.8988225	0.9744321212121217	0.9504125000000001	0.9808304545454547	0.9246675	0.9866598484848483	0.938215	0.9880003787878785	0.8920825	0.9555653787878787	0.9056225	0.9600012121212121	0.85388	0.9454112878787883	0.9032425000000001	0.9373610606060604	0.9058375	0.9632071212121212	0.9342975	0.9801872727272727	0.9182625	0.9722819696969695	0.7872750000000001	0.9328968181818179	0.6952324999999999	0.9130565151515152	0.95984	0.9628156818181816	0.9198624999999999	0.9661352272727268	0.89939	0.9124476515151522
145-1_LuCaP	0.93257	0.9779135606060607	0.9040175	0.9678625000000003	0.9528449999999999	0.9743737121212119	1.002075	0.9714343939393942	0.9468825000000001	0.9840850757575759	0.879845	0.9440779545454546	0.8943049999999999	0.9496806060606057	0.8600325	0.9330594696969696	0.926835	0.9315398484848485	0.893705	0.9507315909090914	0.93099	0.9771174999999999	0.9053825000000001	0.9639070454545452	0.8017925	0.9309131818181821	0.70452	0.9131100000000002	0.9783175	0.9624009090909093	0.9370925	0.9651977272727275	0.9055825	0.9022733333333338
176CR_LuCaP	0.8676674999999999	0.9442914393939397	0.8446250000000001	0.9373744696969696	0.8755725	0.9434149999999999	0.8840525	0.9248184848484848	0.888015	0.9531171212121217	0.9992375	0.9853824242424243	0.9982200000000001	0.9849967424242418	0.98997	0.9883816666666668	1.0156175	0.9981887878787878	1.0085024999999999	0.9921062121212122	0.9033899999999999	0.9581451515151513	0.8788125	0.9432280303030306	0.9217449999999999	0.9609006060606066	0.8584575000000001	0.9496507575757576	0.9461625	0.9438534848484851	0.89595	0.9423372727272725	0.9913850000000001	0.940595606060606
35_LuCaP	0.6648824999999999	0.8753073484848488	0.6556525	0.8764950000000002	0.6687825000000001	0.8798388636363637	0.70605	0.8692262878787878	0.69355	0.88695	1.04147	1.0013132575757582	1.0409225	1.0015362121212121	1.020945	1.0018025	1.086485	1.0108115151515153	1.0570675	1.009880681818182	0.67378	0.8765962878787873	0.5397925	0.8292355303030302	0.9371700000000001	0.9600675757575757	0.8814075	0.9545184848484847	0.8183325	0.9010730303030297	0.7575224999999999	0.8896908333333337	0.9624575	0.9261461363636362
208-4_LuCaP	0.99003	0.9907207575757571	0.969415	0.9815137121212123	1.0149025	0.9911564393939392	1.01427	0.9728501515151516	1.0034475	0.9958772727272721	0.9214125	0.9523620454545451	0.9325875	0.9558331060606058	0.88549	0.9380621969696972	0.8652675000000001	0.9249458333333331	0.9428675	0.9637053787878789	0.9860675	0.9873131818181815	0.9977775	0.9828834848484851	0.8082800000000001	0.9275392424242423	0.7012499999999999	0.9136681060606062	1.016425	0.9681450757575764	0.9966575	0.9821056060606062	0.968635	0.9268604545454547
136CR_LuCaP	0.83328	0.943315833333333	0.80741	0.9379751515151514	0.8671874999999999	0.9420454545454544	0.8585275	0.9392615151515152	0.8489624999999998	0.9504005303030304	0.9989175	0.9895565909090912	1.0009275	0.9897331818181816	0.9812375	0.9873465151515151	1.00701	0.9919438636363638	1.0064075	0.9967500757575758	0.8775000000000001	0.9539672727272729	0.8547425	0.9410053030303034	0.9077200000000001	0.9591263636363634	0.83353	0.9447624999999997	0.9433675	0.948916893939394	0.8512175000000001	0.9360072727272731	0.98578	0.9396260606060607
174-1_LuCaP	0.88816	0.972120681818182	0.866895	0.9688618939393937	0.9402624999999999	0.9678258333333332	1.0246675	0.9566800757575754	0.9142	0.9803399999999998	1.0457275	1.007524166666666	1.0445	1.0073122727272725	1.0560825	1.0055613636363638	1.0055175	0.9881118181818179	1.05585	1.0139354545454544	0.9187200000000001	0.9821149242424245	0.9069975	0.9758545454545455	0.9957225000000001	0.9974509848484845	0.9465075	0.9882933333333334	1.0110700000000001	0.976233863636364	0.969665	0.9882465151515147	1.08965	0.999555984848485
96_LuCaP	0.7668275	0.9206196969696967	0.76647	0.921182196969697	0.8148650000000001	0.9253972727272726	0.8499374999999999	0.923691212121212	0.7939725	0.9297327272727274	1.042925	1.0044613636363635	1.0429425	1.0038381060606059	1.0355249999999998	1.0063462878787877	1.104325	1.0094051515151514	1.05397	1.0117474242424238	0.7655350000000001	0.9300103787878787	0.6572675	0.9014356060606058	0.971455	0.9784369696969691	0.9317675	0.9686766666666659	0.9368725	0.9353483333333337	0.8752225	0.9400818181818181	1.035825	0.9645812878787878
49_LuCaP	0.9639325000000001	0.988656818181818	0.9317475	0.9794363636363635	1.0027325	0.9872281818181812	1.004585	0.9747582575757578	0.9860424999999999	0.996628787878788	0.893515	0.95397196969697	0.906895	0.9590587121212117	0.8329474999999998	0.9399685606060607	0.9130825	0.9298430303030302	0.914925	0.9629896969696968	0.96585	0.9829253030303035	0.9507300000000001	0.979642348484849	0.7662675	0.9206746212121214	0.654115	0.8922878030303032	0.985755	0.9671334090909087	0.9699775000000002	0.9743170454545459	0.8979075000000001	0.9137175757575761
58_LuCaP	0.8174475	0.9100525000000003	0.8055100000000001	0.9046152272727266	0.8460325	0.9115016666666663	0.8965274999999999	0.9265829545454545	0.8461325	0.9202427272727272	1.0107725	0.9986339393939394	1.0095225	0.9983951515151518	0.9930675	1.0039990151515155	0.89205	0.9978124242424247	1.0332675	1.0073797727272729	0.8451375	0.9295771212121209	0.78074	0.9070650757575759	0.9633525000000001	0.9637390151515153	0.906345	0.9542824242424242	0.9316724999999999	0.9192781060606059	0.8782475	0.9181405303030303	1.0049700000000001	0.9419336363636365
77_LuCaP	0.7960550000000001	0.9259498484848484	0.8205	0.9317591666666665	0.86109	0.940880151515151	0.7488774999999999	1.0150817424242422	0.7826875	0.9269345454545456	1.1569075	1.0266323484848483	1.136465	1.0190861363636365	1.2103575	1.056556212121212	1.743925	0.956118712121212	1.1521925	1.035571363636363	0.8033899999999999	0.9571690151515149	0.7323975	0.8802411363636362	1.01236	1.074454242424242	1.1829	1.0975537878787887	1.166445	0.9595817424242423	0.9099675	0.964175	1.20615	1.0121806060606062
